sample_name,file,l_asx_area,l_asx_meas_ret_time,d_asx_area,d_asx_meas_ret_time,l_glu_area,l_glu_meas_ret_time,d_glu_area,d_glu_meas_ret_time,l_ser_area,l_ser_meas_ret_time,d_ser_area,d_ser_meas_ret_time,l_thr_area,l_thr_meas_ret_time,l_his_area,l_his_meas_ret_time,gly_area,gly_meas_ret_time,l_arg_area,l_arg_meas_ret_time,d_arg_area,d_arg_meas_ret_time,l_ala_area,l_ala_meas_ret_time,lh_arg_area,lh_arg_meas_ret_time,d_ala_area,d_ala_meas_ret_time,l_tyr_area,l_tyr_meas_ret_time,l_val_area,l_val_meas_ret_time,l_met_area,l_met_meas_ret_time,d_met_area,d_met_meas_ret_time,d_val_area,d_val_meas_ret_time,l_phe_area,l_phe_meas_ret_time,l_ile_area,l_ile_meas_ret_time,d_phe_area,d_phe_meas_ret_time,l_leu_area,l_leu_meas_ret_time,d_ile_area,d_ile_meas_ret_time,d_leu_area,d_leu_meas_ret_time,x53,x54,x55,x56,x57,file_name
15569bF,G1067 2022-10-27 12-03-40-0104.xls,1435.59,18.02,985.65,19.01,299.63,26.63,163.73,28.42,301.94,29.31,308.3,31.61,362.83,37.08,42.9,37.96,724.99,39.11,214.74,44.38,196.5,45.87,1012.19,47.09,688.67,49.17,897.61,51.31,29.03,55.2,358.42,65.73,48.77,67.17,NA,NA,260.68,73.29,182.83,75.09,296.29,75.94,162.42,78.66,358.57,82.16,273.93,83.87,309.59,86.75,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15569bF,G1067 2022-10-27 12-03-40-0130.xls,1659.14,18.05,1137.93,18.9,343.77,26.81,185.26,28.61,339.9,29.36,347.12,31.68,453.57,37.12,47.53,37.94,774.72,39.11,264.49,44.25,208.6,45.72,1176.06,46.99,821.81,49.06,1041.95,51.23,63.49,55.2,429.56,65.89,84.13,67.37,NA,NA,312.36,73.53,233.54,75.35,354.97,76.21,188.75,78.96,405.63,82.46,311.85,84.17,369.63,87.05,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15570bF,G1067 2022-10-27 12-03-40-0205.xls,1498.22,18.04,1029.15,19.03,333.73,26.67,165.9,28.46,272.51,29.34,277.52,31.65,335.38,37.12,22.7,37.98,722.53,39.15,153.59,44.4,166.53,45.88,827.25,47.12,675.82,49.19,682.37,51.33,17.04,55.21,336.27,65.74,18.4,67.19,NA,NA,172.65,73.31,162.68,75.11,322.24,75.95,113.66,78.69,302.77,82.2,180.19,83.91,204.82,86.79,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15570bF,G1067 2022-10-27 12-03-40-0231.xls,1612.32,18.05,1110.32,18.9,359.91,26.82,177.47,28.62,295.77,29.38,302.61,31.69,382.95,37.16,22.85,37.99,720.85,39.16,167.6,44.31,142.37,45.79,900.3,47.06,729.11,49.13,730.63,51.29,24.16,55.19,365.52,65.89,17.86,67.34,NA,NA,179.63,73.52,180.78,75.32,353.45,76.18,121.11,78.92,346.64,82.43,197.48,84.14,231.32,87.02,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15571bF,G1067 2022-10-27 12-03-40-0306.xls,2477.18,18.04,1806.82,19.03,485.94,26.68,285.23,28.48,386.06,29.35,404.86,31.67,486.1,37.15,56.68,38,1211.73,39.18,500.52,44.42,418.18,45.9,1345.66,47.14,748.63,49.2,1210.29,51.35,58.82,55.23,526.75,65.76,114.69,67.21,NA,NA,317.75,73.33,279.96,75.12,461.92,75.97,228.09,78.71,473.69,82.22,339.46,83.93,370.88,86.81,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15571bF,G1067 2022-10-27 12-03-40-0332.xls,2746.98,18.02,2009.39,18.86,539.05,26.78,312.21,28.57,426.36,29.33,446.51,31.65,551.26,37.12,57.2,37.94,1228.53,39.11,542.28,44.26,433.91,45.74,1474.25,47,809.05,49.08,1301.77,51.23,36.38,55.18,581.36,65.86,117.07,67.32,NA,NA,339.53,73.48,307.23,75.27,515.16,76.14,251.54,78.87,542.87,82.39,376.94,84.11,421.83,86.99,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15572bF,G1067 2022-10-27 12-03-40-0407.xls,1713.44,18.05,1320.86,19.04,527.17,26.7,506.54,28.49,61.99,29.96,13.62,31.66,25.39,36.47,NA,NA,1530.3,39.2,17.31,44.41,NA,NA,1593.01,47.14,863.93,49.19,1869.81,51.35,217.49,55.27,583.67,65.84,44.6,67.32,NA,NA,668.43,73.43,263.34,75.25,375.66,76.08,210.02,78.8,463.2,82.33,508.3,84.03,505.85,86.91,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15572bF,G1067 2022-10-27 12-03-40-0433.xls,1852.09,18,1437.54,18.83,563.92,26.76,541.86,28.55,NA,NA,15.84,31.62,44.61,36.98,51.56,37.97,1447.05,39.11,7.78,44.26,10.33,44.95,1675.59,47.01,874.46,49.08,1908.51,51.22,221.21,55.19,584.05,65.85,NA,NA,58.77,71.66,677.91,73.47,232.6,75.28,384.05,76.14,231,78.84,435.84,82.39,515.22,84.1,522.13,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15573bF,G1067 2022-10-27 12-03-40-0508.xls,2632.17,18.04,1832.41,19.03,694.69,26.71,309.47,28.51,457.4,29.38,476.36,31.7,642.07,37.16,34.73,37.99,1169.08,39.18,237.53,44.39,211.51,45.86,1460.12,47.11,685.73,49.15,1160.73,51.31,52.77,55.2,632.52,65.79,51.76,67.24,NA,NA,241.61,73.38,297.1,75.18,654.63,76.02,191.5,78.76,574.73,82.27,261.47,83.98,329.71,86.86,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15573bF,G1067 2022-10-27 12-03-40-0534.xls,2637.23,18,1844.9,18.83,682.6,26.77,300.25,28.56,453.24,29.33,463.91,31.64,658.04,37.11,31.51,37.93,1049.73,39.09,233.1,44.25,190.99,45.73,1460.78,46.99,678.66,49.07,1150.18,51.21,43.3,55.17,622.4,65.84,47.76,67.3,NA,NA,234.47,73.48,303.84,75.28,665.84,76.14,189.59,78.88,590.29,82.37,271.48,84.07,345.1,86.93,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
